region_code,region_name,Vaccine,Coverage_2015,Coverage_2016,Coverage_2017,Coverage_2018,Coverage_2019,Coverage_2020,Coverage_2021,Not Covered_2015,Not Covered_2016,Not Covered_2017,Not Covered_2018,Not Covered_2019,Not Covered_2020,Not Covered_2021,Target_2015,Target_2016,Target_2017,Target_2018,Target_2019,Target_2020,Target_2021,Unvaccinated_2015,Unvaccinated_2016,Unvaccinated_2017,Unvaccinated_2018,Unvaccinated_2019,Unvaccinated_2020,Unvaccinated_2021,Vaccinated_2015,Vaccinated_2016,Vaccinated_2017,Vaccinated_2018,Vaccinated_2019,Vaccinated_2020,Vaccinated_2021
AFR,Africa,Pol3,71.53778535467889,72.60277559570568,73.30900493421053,73.27768811781318,74.33439829605963,71.10162254483348,69.43744147518548,28.46221464532111,27.39722440429432,26.690995065789465,26.722311882186816,25.665601703940368,28.898377455166525,30.56255852481452,37541000.0,38190000.0,38912000.0,39656000.0,40377000.0,40985000.0,41649000.0,10685000.0,10463000.0,10386000.0,10597000.0,10363000.0,11844000.0,12729000.0,26856000.0,27727000.0,28526000.0,29059000.0,30014000.0,29141000.0,28920000.0
AFR,Africa,RCV1,87.91629162916291,87.97216699801193,87.95616867234126,81.9120705730474,81.4505165851006,79.95216741405082,78.70304748405387,12.083708370837087,12.027833001988071,12.043831327658737,18.0879294269526,18.5494834148994,20.04783258594918,21.29695251594613,4444000.0,5030000.0,10221000.0,13943000.0,14712000.0,16725000.0,16932000.0,537000.0,605000.0,1231000.0,2522000.0,2729000.0,3353000.0,3606000.0,3907000.0,4425000.0,8990000.0,11421000.0,11983000.0,13372000.0,13326000.0
AFR,Africa,Rotac,68.29345754816853,75.65028901734104,74.80366364610738,73.90956382553021,60.939308748139574,65.06561427150511,69.19389428535385,31.706542451831467,24.349710982658962,25.19633635389262,26.090436174469787,39.060691251860426,34.93438572849489,30.80610571464615,18892000.0,19376000.0,20526000.0,22491000.0,30235000.0,31167000.0,31708000.0,5990000.0,4718000.0,5171800.0,5868000.0,11810000.0,10888000.0,9768000.0,12902000.0,14658000.0,15354200.0,16623000.0,18425000.0,20279000.0,21940000.0
AFR,Africa,YFV,54.90605427974948,51.571141791961985,55.61083249749248,59.596078894531715,60.75822050290135,59.20027367060702,58.42654735272185,45.09394572025052,48.428858208038015,44.38916750250752,40.403921105468285,39.24177949709865,40.79972632939298,41.57345264727815,23950000.0,24409000.0,24925000.0,25401000.0,25850000.0,26309000.0,26820000.0,10800000.0,11821000.0,11064000.0,10263000.0,10144000.0,10734000.0,11150000.0,13150000.0,12588000.0,13861000.0,15138000.0,15706000.0,15575000.0,15670000.0
AMR,Americas,BCG,96.21190544004557,92.90972491282449,92.13854835571122,91.97051597051598,83.59979889391654,68.30942622950819,80.56364392678869,3.7880945599544305,7.090275087175513,7.861451644288778,8.029484029484024,16.400201106083458,31.69057377049181,19.436356073211314,10533000.0,10324000.0,10278000.0,10175000.0,9945000.0,9760000.0,9616000.0,399000.0,732000.0,808000.0,817000.0,1631000.0,3093000.0,1869000.0,10134000.0,9592000.0,9470000.0,9358000.0,8314000.0,6667000.0,7747000.0
AMR,Americas,DTP1,96.69035532994924,95.88466038125387,95.46117010201957,91.70529568759657,89.06552094522019,88.17392573137813,86.12436678657954,3.3096446700507585,4.115339618746134,4.538829897980435,8.294704312403425,10.934479054779814,11.826074268621866,13.875633213420457,14775000.0,14531000.0,14409000.0,14238000.0,13965000.0,13707000.0,13621000.0,489000.0,598000.0,654000.0,1181000.0,1527000.0,1621000.0,1890000.0,14286000.0,13933000.0,13755000.0,13057000.0,12438000.0,12086000.0,11731000.0
AMR,Americas,DTP3,91.29610829103216,90.98479113619159,88.27815948365605,88.06012080348363,83.66630862871465,80.65951703509155,80.17032523309595,8.703891708967845,9.015208863808411,11.721840516343946,11.939879196516372,16.333691371285354,19.340482964908446,19.82967476690405,14775000.0,14531000.0,14409000.0,14238000.0,13965000.0,13707000.0,13621000.0,1286000.0,1310000.0,1689000.0,1700000.0,2281000.0,2651000.0,2701000.0,13489000.0,13221000.0,12720000.0,12538000.0,11684000.0,11056000.0,10920000.0
AMR,Americas,Hepb3,88.30456852791878,88.23205560525771,83.86425150947325,83.2841691248771,79.34121016827784,80.58656161085577,79.59768005285956,11.695431472081225,11.767944394742287,16.13574849052675,16.715830875122904,20.65878983172216,19.413438389144233,20.40231994714044,14775000.0,14531000.0,14409000.0,14238000.0,13965000.0,13707000.0,13621000.0,1728000.0,1710000.0,2325000.0,2380000.0,2885000.0,2661000.0,2779000.0,13047000.0,12821000.0,12084000.0,11858000.0,11080000.0,11046000.0,10842000.0
AMR,Americas,Hepbb,77.64840618438633,71.46329606222655,71.27114769090078,74.15195489416767,71.85860259596797,65.88647400684658,65.27822322001283,22.35159381561367,28.536703937773453,28.728852309099224,25.848045105832327,28.141397404032034,34.11352599315342,34.72177677998717,10478000.0,10285000.0,10935000.0,10819000.0,10863000.0,12561000.0,12472000.0,2342000.0,2935000.0,3141500.0,2796500.0,3057000.0,4285000.0,4330500.0,8136000.0,7350000.0,7793500.0,8022500.0,7806000.0,8276000.0,8141500.0
AMR,Americas,Hib3,90.63282571912013,90.24155254283944,88.44472204871956,86.57817109144543,83.04332259219477,79.8351207412271,79.25262462374275,9.367174280879865,9.758447457160557,11.555277951280445,13.421828908554573,16.95667740780523,20.1648792587729,20.747375376257253,14775000.0,14531000.0,14409000.0,14238000.0,13965000.0,13707000.0,13621000.0,1384000.0,1418000.0,1665000.0,1911000.0,2368000.0,2764000.0,2826000.0,13391000.0,13113000.0,12744000.0,12327000.0,11597000.0,10943000.0,10795000.0
