region_code,Year,Vaccine,Vaccinated,Target,Coverage,Not Covered,Unvaccinated,region_name
AFR,2020,YFV,15575000.0,26309000.0,59.20027367060702,40.79972632939298,10734000.0,Africa
AFR,2021,BCG,33456000.0,43322000.0,77.2263515073173,22.773648492682696,9866000.0,Africa
AFR,2021,DTP1,33354000.0,41649000.0,80.08355542750127,19.916444572498733,8295000.0,Africa
AFR,2021,DTP3,29450000.0,41649000.0,70.70998103195755,29.290018968042446,12199000.0,Africa
AFR,2021,Hepb3,29405000.0,41649000.0,70.6019352205335,29.398064779466495,12244000.0,Africa
AFR,2021,Hepbb,6540000.0,11006000.0,59.42213338179175,40.57786661820825,4466000.0,Africa
AFR,2021,Hib3,29405000.0,41649000.0,70.6019352205335,29.398064779466495,12244000.0,Africa
AFR,2021,IPV1,29599000.0,41649000.0,71.06773271867272,28.932267281327285,12050000.0,Africa
AFR,2021,MCV1,27772000.0,41649000.0,66.68107277485655,33.318927225143455,13877000.0,Africa
AFR,2021,MCV2,14767000.0,28564000.0,51.69794146478084,48.30205853521916,13797000.0,Africa
AFR,2021,PCV3,27648000.0,40357000.0,68.50856109225165,31.491438907748346,12709000.0,Africa
AFR,2021,Pol3,28920000.0,41649000.0,69.43744147518548,30.56255852481452,12729000.0,Africa
AFR,2021,RCV1,13326000.0,16932000.0,78.70304748405387,21.29695251594613,3606000.0,Africa
AFR,2021,Rotac,21940000.0,31708000.0,69.19389428535385,30.80610571464615,9768000.0,Africa
AFR,2021,YFV,15670000.0,26820000.0,58.42654735272185,41.57345264727815,11150000.0,Africa
AMR,2015,BCG,10134000.0,10533000.0,96.21190544004557,3.7880945599544305,399000.0,Americas
AMR,2015,DTP1,14286000.0,14775000.0,96.69035532994924,3.3096446700507585,489000.0,Americas
AMR,2015,DTP3,13489000.0,14775000.0,91.29610829103216,8.703891708967845,1286000.0,Americas
AMR,2015,Hepb3,13047000.0,14775000.0,88.30456852791878,11.695431472081225,1728000.0,Americas
AMR,2015,Hepbb,8136000.0,10478000.0,77.64840618438633,22.35159381561367,2342000.0,Americas
AMR,2015,Hib3,13391000.0,14775000.0,90.63282571912013,9.367174280879865,1384000.0,Americas
AMR,2015,IPV1,10707000.0,11923000.0,89.8012245240292,10.198775475970805,1216000.0,Americas
AMR,2015,MCV1,13696000.0,14775000.0,92.69712351945854,7.302876480541457,1079000.0,Americas
AMR,2015,MCV2,11551000.0,13448000.0,85.89381320642475,14.106186793575247,1897000.0,Americas
AMR,2015,PCV3,12553000.0,14328000.0,87.61166945840313,12.388330541596872,1775000.0,Americas
AMR,2015,Pol3,13467000.0,14775000.0,91.14720812182742,8.852791878172582,1308000.0,Americas
